Colonne,Valeurs_nulles,Pourcentage_null
district,64690,100.0
host_response_time,41344,63.91095996289998
host_response_rate,41344,63.91095996289998
host_acceptance_rate,32771,50.65852527438553
review_scores_location,16719,25.844798268665947
review_scores_value,16718,25.843252434688512
review_scores_checkin,16718,25.843252434688512
review_scores_accuracy,16701,25.81697325707219
review_scores_communication,16699,25.813881589117326
review_scores_cleanliness,16692,25.803060751275314
review_scores_rating,16654,25.74431906013294
bedrooms,13404,20.720358633482764
host_location,168,0.2597001082083784
name,63,0.09738754057814192
arrondissement,56,0.08656670273612614
host_since,33,0.051012521255217186
host_has_profile_pic,33,0.051012521255217186
host_identity_verified,33,0.051012521255217186
host_is_superhost,33,0.051012521255217186
host_total_listings_count,33,0.051012521255217186
listing_id,0,0.0
host_id,0,0.0
accommodates,0,0.0
property_type,0,0.0
room_type,0,0.0
city,0,0.0
latitude,0,0.0
neighbourhood,0,0.0
longitude,0,0.0
amenities,0,0.0
price,0,0.0
minimum_nights,0,0.0
maximum_nights,0,0.0
instant_bookable,0,0.0
amenity_wifi,0,0.0
amenity_tv,0,0.0
amenity_kitchen,0,0.0
amenity_washer,0,0.0
amenity_air_conditioning,0,0.0
amenity_heating,0,0.0
amenity_parking,0,0.0
amenity_bathtub,0,0.0
amenity_shampoo,0,0.0
amenity_coffee,0,0.0
amenity_pets_allowed,0,0.0
amenity_pool,0,0.0
amenity_long_term_stays_allowed,0,0.0
amenity_essentials,0,0.0
amenity_elevator,0,0.0
amenity_smoke_alarm,0,0.0
amenity_fire_extinguisher,0,0.0
amenity_iron,0,0.0
amenity_hot_water,0,0.0
amenity_hangers,0,0.0
amenity_dedicated_workspace,0,0.0
amenity_host_greets_you,0,0.0
amenity_carbon_monoxide_alarm,0,0.0
amenity_stove,0,0.0
amenity_dishes_and_silverware,0,0.0
amenity_bed_linens,0,0.0
amenity_indoor_fireplace,0,0.0
amenity_breakfast,0,0.0
amenity_first_aid_kit,0,0.0
amenity_luggage_dropoff_allowed,0,0.0
amenity_patio_or_balcony,0,0.0
amenity_extra_pillows_and_blankets,0,0.0
amenity_private_entrance,0,0.0
amenity_ethernet_connection,0,0.0
amenity_lockbox,0,0.0
